lifetable	age	male	female	source
us_2017	62	20.22583199	23.04245949	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	63	19.49091911	22.22203827	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	64	18.76329613	21.40783882	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	65	18.04177475	20.60007858	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	66	17.32594872	19.79886627	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	67	16.61739731	19.00498962	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	68	15.91598129	18.21907043	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	69	15.22230244	17.44288445	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	70	14.53795433	16.67751312	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	71	13.86031437	15.92189312	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	72	13.19770145	15.1810894	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	73	12.54428291	14.45339489	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	74	11.90451717	13.73831749	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	75	11.27592182	13.03477097	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	76	10.66264629	12.34724236	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	77	10.06571007	11.67472458	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
us_2017	78	9.487686157	11.01897717	https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_07-508.pdf
